src_ip,dst_ip,dst_port,proto,service,duration,orig_bytes,resp_bytes,conn_state,label,timestamp,external_connection,traffic_spike,device_name,risk_level
192.168.1.195,185.244.25.235,80,tcp,,3.139211,0.0,0.0,S0,Benign,2018-12-21 14:50:16.962094069,True,False,IoT_Camera_195,SAFE
192.168.1.195,185.244.25.235,80,tcp,,,,,S0,Benign,2018-12-21 14:50:24.181240082,True,False,IoT_Camera_195,SAFE
192.168.1.195,185.244.25.235,80,tcp,,,,,S0,Benign,2018-12-21 14:50:32.341331005,True,False,IoT_Camera_195,SAFE
192.168.1.195,185.244.25.235,80,tcp,http,1.477656,149.0,128252.0,SF,Benign,2018-12-21 14:50:48.981338024,True,True,IoT_Camera_195,SAFE
192.168.1.195,185.244.25.235,80,tcp,,3.147116,0.0,0.0,S0,Benign,2018-12-21 14:50:50.554282904,True,False,IoT_Camera_195,SAFE
192.168.1.195,185.244.25.235,80,tcp,http,1.305004,151.0,128348.0,SF,Benign,2018-12-21 14:50:57.781320095,True,True,IoT_Camera_195,SAFE
192.168.1.195,185.244.25.235,80,tcp,http,1.004605,148.0,91961.0,SF,Benign,2018-12-21 14:50:59.183341026,True,False,IoT_Camera_195,SAFE
192.168.1.195,185.244.25.235,80,tcp,http,4.129647,148.0,99303.0,SF,Benign,2018-12-21 14:51:00.282392025,True,False,IoT_Camera_195,SAFE
192.168.1.195,185.244.25.235,80,tcp,,3.114215,0.0,0.0,S0,Benign,2018-12-21 14:51:04.507241964,True,False,IoT_Camera_195,SAFE
192.168.1.195,185.244.25.235,80,tcp,,,,,S0,Benign,2018-12-21 14:51:11.701387882,True,False,IoT_Camera_195,SAFE
192.168.1.195,185.244.25.235,80,tcp,,,,,S0,Benign,2018-12-21 14:51:20.341454983,True,False,IoT_Camera_195,SAFE
192.168.1.195,147.231.100.5,123,udp,,0.001496,48.0,48.0,SF,Benign,2018-12-21 14:50:40.458699942,True,False,IoT_Camera_195,SAFE
192.168.1.195,185.244.25.235,80,tcp,,,,,S0,Benign,2018-12-21 14:51:36.981466055,True,False,IoT_Camera_195,SAFE
192.168.1.195,185.244.25.235,80,tcp,,,,,S0,Benign,2018-12-21 14:52:09.621375084,True,False,IoT_Camera_195,SAFE
192.168.1.195,147.231.100.5,123,udp,,0.001495,48.0,48.0,SF,Benign,2018-12-21 14:51:49.458606958,True,False,IoT_Camera_195,SAFE
192.168.1.195,185.244.25.235,80,tcp,,3.158705,0.0,0.0,S0,Benign,2018-12-21 14:53:15.902832031,True,False,IoT_Camera_195,SAFE
192.168.1.195,185.244.25.235,80,tcp,,,,,S0,Benign,2018-12-21 14:53:23.141467094,True,False,IoT_Camera_195,SAFE
192.168.1.195,185.244.25.235,80,tcp,,,,,S0,Benign,2018-12-21 14:53:31.541450977,True,False,IoT_Camera_195,SAFE
192.168.1.195,195.113.144.201,123,udp,,,,,S0,Benign,2018-12-21 14:52:50.458575010,True,False,IoT_Camera_195,SAFE
192.168.1.195,185.244.25.235,80,tcp,,,,,S0,Benign,2018-12-21 14:53:48.181479931,True,False,IoT_Camera_195,SAFE
192.168.1.195,147.231.100.5,123,udp,,0.001495,48.0,48.0,SF,Benign,2018-12-21 14:52:55.458724022,True,False,IoT_Camera_195,SAFE
192.168.1.195,82.113.53.40,123,udp,,,,,S0,Benign,2018-12-21 14:53:15.458585978,True,False,IoT_Camera_195,SAFE
192.168.1.195,185.244.25.235,80,tcp,,,,,S0,Benign,2018-12-21 14:54:20.821667910,True,False,IoT_Camera_195,SAFE
192.168.1.195,147.231.100.5,123,udp,,0.014232,48.0,48.0,SF,Benign,2018-12-21 14:54:01.458688974,True,False,IoT_Camera_195,SAFE
192.168.1.195,185.244.25.235,80,tcp,http,2.299441,151.0,164266.0,SF,Benign,2018-12-21 14:55:30.023056984,True,True,IoT_Camera_195,SAFE
192.168.1.195,185.244.25.235,6667,tcp,,3.107733,0.0,0.0,S0,Malicious,2018-12-21 14:55:32.353979111,True,False,IoT_Camera_195,RISK
192.168.1.195,185.244.25.235,80,tcp,,3.136227,0.0,0.0,S0,Benign,2018-12-21 14:55:32.405451059,True,False,IoT_Camera_195,SAFE
192.168.1.195,185.244.25.235,80,tcp,,,,,S0,Benign,2018-12-21 14:55:39.621613979,True,False,IoT_Camera_195,SAFE
192.168.1.195,185.244.25.235,80,tcp,,,,,S0,Benign,2018-12-21 14:55:47.861659050,True,False,IoT_Camera_195,SAFE
192.168.1.195,147.231.100.5,123,udp,,0.001748,48.0,48.0,SF,Benign,2018-12-21 14:55:08.458823919,True,False,IoT_Camera_195,SAFE
192.168.1.195,185.244.25.235,80,tcp,,,,,S0,Benign,2018-12-21 14:56:04.501693010,True,False,IoT_Camera_195,SAFE
192.168.1.195,185.244.25.235,80,tcp,,,,,S0,Benign,2018-12-21 14:56:37.141875029,True,False,IoT_Camera_195,SAFE
192.168.1.195,81.2.248.189,123,udp,,,,,S0,Benign,2018-12-21 14:55:58.497117996,True,False,IoT_Camera_195,SAFE
192.168.1.195,147.231.100.5,123,udp,,0.11543,48.0,48.0,SF,Benign,2018-12-21 14:56:15.458965063,True,False,IoT_Camera_195,SAFE
192.168.1.195,89.221.210.188,123,udp,,,,,S0,Benign,2018-12-21 14:56:46.459085941,True,False,IoT_Camera_195,SAFE
192.168.1.195,185.244.25.235,80,tcp,,3.158698,0.0,0.0,S0,Benign,2018-12-21 14:57:47.263222933,True,False,IoT_Camera_195,SAFE
192.168.1.195,185.244.25.235,80,tcp,,,,,S0,Benign,2018-12-21 14:57:54.501847029,True,False,IoT_Camera_195,SAFE
192.168.1.195,81.2.248.189,123,udp,,,,,S0,Benign,2018-12-21 14:57:04.459095001,True,False,IoT_Camera_195,SAFE
192.168.1.195,185.244.25.235,80,tcp,,,,,S0,Benign,2018-12-21 14:58:02.901824951,True,False,IoT_Camera_195,SAFE
192.168.1.195,147.231.100.5,123,udp,,0.068707,48.0,48.0,SF,Benign,2018-12-21 14:57:22.459089994,True,False,IoT_Camera_195,SAFE
192.168.1.195,185.244.25.235,80,tcp,,,,,S0,Benign,2018-12-21 14:58:19.541860104,True,False,IoT_Camera_195,SAFE
192.168.1.1,192.168.1.195,22,tcp,,502.919185,952.0,17192.0,SF,Benign,2018-12-21 14:50:16.870899916,False,False,IoT_Camera_195,SAFE
192.168.1.195,185.244.25.235,80,tcp,,,,,S0,Benign,2018-12-21 14:58:52.182018995,True,False,IoT_Camera_195,SAFE
192.168.1.195,81.2.248.189,123,udp,,0.005231,48.0,48.0,SF,Benign,2018-12-21 14:58:10.459033012,True,False,IoT_Camera_195,SAFE
192.168.1.195,147.231.100.5,123,udp,,0.010235,48.0,48.0,SF,Benign,2018-12-21 14:58:29.458961964,True,False,IoT_Camera_195,SAFE
